comment_text,topic
"Se prima eravamo in due a ballare l'Alligalli adesso siamo in quattro a ballare l'Alligalli  La stima è di 20 milioni di non  vaccinati , loro includono anche chi ha saltato la terza io invece dico che allora siamo MOLTI DI PIÙ",Covid
"Forse non sai che lui è a favore dei vaccini tradizionali (ha fatto un video su quello distribuito in Cile) non di questi in fase di sperimentazione... Domandati: Come mai in Italia distribuiscono solo VELENI ""vaccini"" TERAPIE GENICHE?",Covid
"il pilota di un aereo commerciale annuncia la morte della blatta monarchica inglese, non si sa bene per quale ragione abbia disturbato i passeggeri con questa sua notizia, e le assistenti di volo si mettono a piangere.  Peggio dei nord coreani.  Gregge.  .",Qanon
"ROMA Domani 6 Dicembre Manifestazione dei danneggiati da vaccino. (come gia segnalato i giorni scorsi.  Protagonista delliniziativa lavvocato Erich Grimaldi, presidente del movimento UCDL (Unione per le Cure, i Diritti e le Libertà) che nei giorni scorsi ha inviato una diffida alla Presidenza della Repubblica, a quella del Consiglio dei ministri, al ministero della Salute e al ministero dellEconomia e delle Finanze per contestare lomessa previsione di accer diagnostici prima e dopo la vaccinazione dei cittadini, nonché per chiedere chiarezza sulla tutela prevista per le vittime di eventi avversi legati ai farmaci anti-Covid. Attraverso Twitter, Grimaldi ha lanciato una nuova iniziativa:   6 dicembre 2021 a Roma, ore 12.00 al ministero della Salute. Vogliamo garanzie per chi ha subito reazioni avverse. Parteciperanno i vaccinati costretti a pagarsi cure e accer esclusi dal Super Green pass e i parenti delle vittime colpite da reazioni avverse.",Covid
"Sembra una conferma da TS Truth Social Q non è vero?  H/T      ""Non solo Truth Social Q apparen alludeva alla morte della regina e la sua scomparsa è avvenuta 1776 giorni dopo il primo drop di Q, ma ora il re ha esteso il periodo di lutto a 17 giorni esatti. Convincimi che questo non è pianificato perché non puoi.""   "" ha confermato che la carta era correlata alla regina? Non ho idea, sono stato occupato.""   ""Carta????""   ""Q"" ""Carta da gioco regina.""",Qanon
"Con il varo dell'obbligo vaccinale anti-Covid per gli over50, deciso ieri dal Consiglio dei ministri, scoppia la questione legata al consenso informato per la vaccinazione. Diventando l'immunizzazione obbligatoria, in caso di danno da vaccino, rileva il Codacons, lo Stato dovrebbe essere responsabile ma ciò non è attualmente evidenziato nel modulo da firmare.",Covid
"Ecco cosa pensa il figlio di un sopravvissuto di Auschwitz, il Procuratore generale Daniel Trappe, in netta contrapposizione a quanto detto dalla signora Segre e da quanto scritto su tutti i giornali riguardo alla protesta fatta in corteo dai free-pass indossando vesti da prigionieri dei campi di sterminio: la definirono ""un oltraggio"". Pare che questa opinione non sia proprio condivisa nel mondo, e neppure dagli ebrei stessi! Vergogna... [",Covid
"In guerra vengono uccisi 1000 uomini e tutto normale, poi una femmina viene stuprata e tutte le femministe a urlare ""STUPRO, STUPRO, SRUPRO, che orrore, intervenire subito per condannare gli stupratori per crimini di guerra!""",Qanon
"E fai benissimo, ma resistere soltanto non porterà a fermarli, bisogna contrattaccare, noi abbiamo uno sistema che li sta mettendo in difficoltà e li stiamo obbligando a usare le nostre parole le stesse che li incolpano e che portano alla luce la verità, le manifestazioni sono utili a parer mio solo per poter spiegare alla gente che è una lotta diversa quella che serve adesso, forse 20, 30 anni fa avrebbero portato a dei risultati ma viviamo in un mondo che non è più lo stesso",Covid
"A parte il titolo che come al solito è sensazionalista, pur nella pigrizia intellettiva che ha contraddistinto fino ad oggi i suoi interventi, in uno sprazzo di lucidità si può apprezzare qualche considerazione condivisibile..... Differen da come accade ai malati di alzheimer, queste lucidità sono sempre più frequenti: effetto spyke? [",Covid
Ad un'anno dell'allunaggio tutti e tre si ritirano dalla NASA..stranto no?,Terra Piatta
Inoltre... dal riflesso del sole..  Il sole non e' a 150 milioni di Km dalla terra.... e' molto ma molto piu vicino... questa e' una prova decisiva,Terra Piatta
"Dall'intervista alla parlamentare Ucraina Kira Rudik, emerge la VERITA' sul conflitto con la Russia: STIAMO COMBATTENDO per il NUOVO ORDINE MONDIALE!!! Abbiamo combattuto Putin negli ultimi otto anni!!!. L'Ucraina centro dei loschi traffici delle élite globaliste!!!",Qanon
"Rivolte dei popoli contro la dittatura!!!! Olanda: la polizia spara sui manifestanti, vari feriti!!!!! Austria: il cancelliere incontra SOROS e poi impone l'obbligo vaccinale e lockdown per tutti!!!! Oggi con il World Wide Demonstration For  Freedom 5.0 è l'inizio di un nuovo giorno?!! Un mondo senza diaboliche élite?!!!!",Qanon
"IMPERDIBILE!!!  Dott.ssa Lee Merritt, chirurgo esperta in armi biologiche: La subunità S1 della proteina spike è la stessa subunità S1 del virus HIV!  La mortalità per tutte le cause è alle stelle! Non abbiamo mai visto niente di simile! Abbiamo sempre detto che questo siero modifica i geni e uccide le persone""!!!",Covid
Continuano a dirti che il covid è stato trasmesso dai pipistrelli..quando ormai è noto che è  un virus costruito in laboratorio...,Covid
eehh vax vax vax...un giorno vi accascerete tutti,Covid
"Le ""coincidenze"" vogliono che la morte della regina sia arrivata 1776 gg dopo il primo drop di Q.                                                                                       (1776 indipendenza americana)",Qanon
Qualche scienziato dovrebbe spiegare le ragioni scientifiche che sono alla base di questa limitazione . Posso stare 3 ore al supermercato senza Green pass per comprare il pane ma non 10 minuti per comprare una mutanda,Covid
"Dinesh su come 2000 Mules mostra che Trump ha vinto facilmente le elezioni del 2020:  ""In questo film, mostriamo che ci sono almeno 400.000 voti fraudolenti e quando li guardi stato per stato... E se rifai la mappa elettorale, vedrai che significa che Trump ha vinto le elezioni del 2020. ""  La vittoria di Trump è ormai un fatto provato. Non possono nascondersi da questa verità.  Due video",Qanon
"Eravamo oltre al 70° posto in classifica, c'è stato un recupero fino al 41° dovuto  al peggioramento di altre situazioni, non cer al miglioramento delle nostre Grazie alle bugie su Covid e guerra  adesso abbiamo ricominciato a pretendere il posto che ci compete.... Ricordiamo sempre che i giornalisti prezzolati sono liberi di fare quel tipo di informazione, e come tali sfuggono alla ricerca....  Maledetti! [",Covid
"L'ex presidente dell'Ucraina Poroshenko ha affermato che un tempo aveva accettato gli accordi di Minsk per prendersi la pausa necessaria per preparare l'esercito ucraino a una guerra futura. La confessione è utile.  In primo luogo, conferma l'esistenza di una strategia a lungo termine per la militarizzazione dell'Ucraina. Lo sapevano già tutti. Forse alcuni degli idealisti occidentali credevano che il presidente dell'Ucraina stesse andando agli accordi di Minsk per amore della pace. Fin dall'inizio, da parte russa si era capito che Poroshenko avrebbe sfruttato la pausa, i cui garanti erano Germania e Francia. Diplomatici ed esperti tedeschi e francesi sapevano che la parte ucraina li stava prendendo per il naso. Ma hanno preferito ignorarlo. Ora, dopo aver pubblicamente riconosciuto l'ovvio, Poroshenko ha reso evidente a tutti che i team della Merkel e dell'Olanda erano o sciocchi o bugiardi.  A voi la scelta.  In secondo luogo, Poroshenko ha fornito un'altra prova delle parole di Putin secondo cui l'Ucraina avrebbe attaccato il Donbas per tutti questi anni. Politici e funzionari ucraini di vario livello hanno ripetu confermato questo obiettivo. Ma questa è la prima volta che lo fa francamente l'ex capo di Stato. Ora sarà difficile confutare l'esistenza di una strategia di aggressione e di piani concreti per attaccare il Donbass e la Crimea.  In terzo luogo, Poroshenko fornisce argomenti a favore del fatto che, dopo il comple dell'operazione militare, i negoziati con l'Ucraina possono essere condotti solo dal punto di vista della necessità della sua smilitarizzazione e della assicurazione di garanzie politiche che questa smilitarizzazione non sarà violata. Non si accettano dichiarazioni a vanvera sullo status neutrale dell'Ucraina.",Russia
"È mia opinione, atten ponderata, dato tutto ciò che sappiamo, che entrambe queste persone saranno incriminate penalmente dal consigliere speciale John Durham per aver pianificato e poi attuato una delle più massicce violazioni della sicurezza nazionale nella storia della gli Stati Uniti.",Qanon
Questa non è una mappa delle vittime del covid !! E' LA MAPPA DEL TRAFFICO DI SESSO D'AMERICA!!! (PORNO E PEDOFILIA) [,Qanon
"ORNELLA MARIANI FORNI: Il mio commento sull'esito elettorale, la situazione del Paese, l'ingerenza estera nelle elezioni italiane, l'intervento di Lavrov contro la Von der Leyen,  il conflitto in Ucraina, la drammatica situazione del caro bollette, ma ieri è iniziato un processo irreversibile!",Qanon
"PFIZER SI ASPETTA PEZZI PIù ALTI DELVACCINO COVID-19 ED INCREMENTI DI VENDITE ANNUALI: QUESTO SIGNIFICA MOLTE VEDITE A LUNGO TERMINE"". Pfizer ne ha dato notizia il mese scorso quando il suo chief financial officer ha detto che la società cercherà di aumentare i prezzi del vaccino COVID-19 dopo che la pandemia sarà superata. L'azienda ora crede che le vaccinazioni annuali saranno ""sempre più probabili"" e sta valutando questa doppia opportunità. Basta unire queste due cose insieme per ottenere un sostanzioso flusso di ricavi a lungo termine.",Covid
Il generale Flynn ha discusso del piano di 16 anni(8 Obama + 8 HRC) per distruggere l'America con Lou Dobbs questa mattina,Qanon
Tanto ormai sei entrato nel mondo sinistro... ci saranno altre dosi dato che ci saranno ogni anno le varianti.. ed i vaccinati non avranno mai una cura...Mentre a ottobre ci sarà la cura del covid  con farmaci antinfiammatori finalmente legalizzati alla cura... I vaccinati oltre ad essere stati beffati saranno sempre a rischio e non solo di covid.....,Covid
Rivolta popolare in Canada!!! Trudeau scappa con la famiglia  l'ira di 50.000 camionisti!!!! Parlamento assediato!!! Colonna di 72 km di TIR!!! Il popolo chiede il ritiro dell'obbligo vaccinale e del pass sanitario!!!! Gli accoliti delle nere élite sono in ginocchio!!!!!,Covid
Come vedete  il modello terrapallone e' come un castelletto di sabbia crolla subito dopo dei seri ragionamenti...,Terra Piatta
"Il video che riprende il momento in cui salta in aria l'auto di Ivan Sushko, rappresentante cittadino di Mikhailovka nell'oblast di Zaparozhye.  Kiev potrebbe aver iniziato la strategia del terrore contro singoli personaggi filo-russi o di spicco sulla falsa riga di quanto già avvenuto durante la 1° guerra ucraina scoppiata nel 2014, quando furono sistematicamente uccisi, tramite attentati dinamitardi, tutti i leader separatisti del Donbass che avevano battuto sul campo l'esercito ucraino, costringendolo ad un umiliante ritirata:  -  ""Motorola"" comandante del battaglione Sparta morto nel 2016 a causa di una bomba piazzata nel suo ascensore ;  - il Comandante ""Givi"" del Battaglione Somalia morto a Donetsk l'8 febbraio 2017 ucciso con un missile;   - il capo dell'autoproclamata Repubblica Popolare di Donetsk Aleksandr Zakharchenko morto nella stessa città il 31 agosto 2018 tramite un ordigno esplosivo.",Russia
Aspettavo da anni l'ufficialita' di questi fenomeni UFO o UAP...   e aspettavo anche un video cosi.... !!!,Terra Piatta
"Se Berlusca ci promete la fine del cancro femminista, la fine della truffa Covid, di essere contro l'invasione russa e più figa per tutti allora lo votiamo tutti!  Dopo aver visto che cazzo hanno combinato questi servi del gruppo Bilderberg negli ultimi 11 anni dopo che hanno tolto Berlusca nel 2011, allora meglio Berlusca e più figa per tutti!  Ricordiamoci come l'hanno tolto, perché non voleva fare quello che volevano l'elite del gruppo Bilderberg, con il terrorismo dello ""spread"" e  il ""fate presto"" su tutti i canali di manipolazione per una settimana, come se il paese stesse affondando e poi sono arrivati i servi del gruppo Bilderberg e hanno rovinato l'Italia.",Qanon
MASSIMA CONDIVISIONE! Dietro le esplosioni del gasdotto NORD STREAM 2 c'è il WEF di Davos e lo stato profondo USA! I veri nemici dell'Europa vogliono il Great Reset con la distruzione economica!,Qanon
"La Verità     ""  PIÙ CASI DI INFEZIONI TRA I BAMBINI VACCINATI I dati ufficiali forniti dallIss certificano il flop della vaccinazione pediatrica nella fascia tra 5 e 11 anni: nonostante siano in pochi (solo 1,3 milioni) si ammalano di più. E cè maggiore rischio di finire in terapia intensiva. Nessuna informazione sugli eventi avversi  ""   ""Ci hanno detto «vaccinate contro il Covid i pargoli, perché è nellinteresse loro e dei familiari più fragili». Ma a distanza di sei mesi dalli ni zio del pressing, le punture nella fascia 5-11 anni sono state un flop. Non solo perché appena 1.387.900 bambini (per fortuna) hanno risposto allappello, nel senso che sono stati portati dai genitori a porgere il braccio per una o due dosi, ma soprattutto perché, nellultimo mese, i contagi tra i vaccinati hanno superato in percentuale i non inoculati.""",Covid
"È UNA STRAGE! Steve Kirsch: sono più di 14 i medici canadesi morti improvvisamente subito dopo il ""vaccino"" covid-19!!! Perchè sbagliano i fact checkers!",Covid
Renzi il femminista: sempre metà donne nelle sue giunte e al governo?,Qanon
"Comunque è incredibile come qui tutti facciano riferimento allo stato regime... è un regime quello che vi permette di proliferare paura, odio e anche fake news continuamente smentite dal 99% dei medici, ma non dall'1%?...è un regime quello che ha permesso a chiunque di andare in televisione e dare la propria opinione?...è un regime quello che permette l'esistenza di questa chat?... vorrei che rileggeste questa chat e tutti quei messaggi di odio e di morte che avete mandato. Non credo che nessun si vax abbia una chat del genere. E quando parlate di libertà costituzionali violate, andate a leggerla la costituzione: Art. 32."" La Repubblica tutela la salute come fondamentale diritto dell'individuo e interesse della collettività, e garantisce cure gratuite agli indigenti. Nessuno può essere obbligato a un determinato trat sanitario se non per disposizione di legge."" Se leggete bene, c'è scritto interesse della collettività (che deve essere tutelato al pari di quello individuale, se non maggiore), e l'obbligo vaccinale è totalmente legale, perché può essere sancito tramite disposizione di legge. E in Italia tutto fa riferimento alla Costituzione, quindi si guarda quella. E agli amministratori di questo gruppo: visto che probabilmente mi butterete fuori, non state forse facendo il gioco del regime? solo critiche costruttive al mio messaggio, non insulti, se no non serve a niente",Qanon
"Sul canale Telegram riservato agli abbonati, abbiamo appena pubblicato un video che, parla di come ci stiamo indirizzando verso il NWO, movimenti di truppe, bunker, teoria di QAnon e azioni concrete di Trump dimostrati ma non resi noti alle masse: a breve il mondo cambierà. Puoi abbonarti con una donazione mensile a questo link:  e fare richiesta dell'abbonamento a questa mail: fastrade1.com",Qanon
"Porcaccia miseriaccia..... Se non stai attento ti inchiappettano con una pacca sul braccio! O con uno spray nasale. Speriamo che lo adattino anche ai profilattici! Si potrebbe ben dire.. due piccioni con una ""fava"".",Covid
"L'ESPOSIZIONE STA DANDO I SUOI FRUTTI   Ormai chiunque in America tiene d'occhio queste elezioni per il SENATO e non gli sfuggirà NIENTE  ""Questo è strano.  Fox News ha riportato il 99% dei voti in Pennsylvania circa 30 minuti fa.  Ora dicono solo il 95% in...   Ricorda che se i risultati sono entro lo 0,5% per i candidati, si tratta di un riconteggio automatico in Pennsylvania.   Vediamo cosa succede """,Qanon
"Gli australiani che vivono sotto la piena tirannia del covid, arrabbiati ed urlanti guardano il cerchio della polizia che atterra un uomo per non aver indossato una mascherina in un parco nel New South Wales anche se sta chiaramente consegnando loro il suo certificato di esenzione, ma non lo guardano nemmeno! C'è da domandarsi quando toccherà a noi.... paese capofila di ?",Covid
"I nodi vengono al pettine anche per la ""Legione straniera"" che combatte per il regime di Kiev.   Molti dei ""volontari"" denunciano che i comandanti dell'unità sono implicati in saccheggi, molestie sessuali, aggressioni e invio di soldati impreparati in missioni suicide.  Non si tratta di voci raccolte da blogger filo-russi, bensì di un'(   Si punta l'indice in particolare su uno dei comandanti - il polacco Piotr Kapuciski - membro di un'organizzazione criminale in patria, dove è ricercato per frode.   I ""volontari"" stranieri lo hanno accusato di gravi abusi di potere, per aver ordinato di saccheggiare negozi, minacciato i subalterni con una pistola e molestato sessualmente le dottoresse e le infermiere aggregate alla Legione.   Secondo il Kyiv Independent, un rapporto su tali crimini è stato presentato al parlamento ucraino e testimonianze scritte sono state inviate anche a Zelensky.",Russia
"COLPO DI SPUGNA PER TUTTI I CRIMINALI ""PANDEMICI"" Per   sanare   tutti i crimini commessi dalle classi dirigenti in questi due anni e mezzo, per Toscano basta   una politica  nuova , risoluta, MAI VENDICATIVA Però è necessaria una Commissione parlamentare dinchiesta affinché non si ripetano più le violenze che sono state condotte da precisi uomini di Stato  .  La commissione servirebbe, insomma, solo per sgridare i politici cattivi e dirgli di non farlo mai più, senza che nessuno paghi per i gravissimi crimini e tan venga condannato allergastolo o alla pena capitale (secondo le linee del codice di Norimberga), perché non bisogna essere vendicativi, dice il furbetto, facendo il solito giochetto di chi in realtà non vuole giustizia.  Toscano vuole il colpo di spugna per tutti i criminali e complici della dittatura sanitaria, in cambio di una sua legittimazione politica, anche perché lui stesso e i suoi sodali dovrebbero  un processo come collaborazionisti.",Covid
"Preparatevi a un governo dittatoriale di emergenza, dimenticatevi elezioni politiche, ormai il colpo di stato e avvenuto, la lotta armata per decapitare questa situazione e l'unica alternativa per ristabilire la democrazia e la liberta",Qanon
"Ma lasciate stare i satanisti, sono solo una presa in giro. Andate ad attaccare l'università di Sapienza che è più importante",Qanon
INCREDIBILE!!! Spagna: coi sieri covid 4000 morti in più in un solo mese!!! Si accorge anche il prof Galli??!,Covid
"2918-01-04 La stampa riporta questi dati da una analisi francese condotta a livello europeo: morbillo 16.000 casi di contagio negli ultimi 2 anni e 38 decessi (di cui probabilmente molti adulti e tra questi alcuni vaccinati cui la protezione era scomparsa), SI PARLA DI TUTTA EUROPA. (fig 1) Quando si parla di morti da vaccino invece, si tratta sempre di casi sospetti ed ovviamente non confermati e, solo nel 2016, e solo in Italia, 7 casi (probabilmente molti neonati e qualche adulto per l'anti influenzale)... difficile capire cosa sia più pericoloso. (fig 2)",Covid
"Da ""vaccìnati per salvare il nonno"" a ""spegni il riscaldamento per salvare l'ucraino"" ed infine ""mandiamo le armi per salvaguardare la pace"". I passaggi sono talmente simili che neppure ci siamo accorti di averli fatti....",Qanon
"Attendiamo finché offriranno i milioni, poi vaccinazioni su braccio di gomma     AVANTI TUTTA FINCHÉ LA DITTATURA NON SARÀ DISTRUTTA  CONDIVIDI  ---------------",Covid
Letters scritta dalla ditta.ssa Gatti a Robert Kennedy jr. Per spiegargli la situazione in Italia oggi. C'è sia il testo originale in inglese che la traduzione.,Qanon
"Una signora greca evacuata da Marioupol "" i militanti ucraini ci impedivano di raggiungere i corridoi umanitari sicuri poi, abbiamo incontrato i militari russi e ci hanno portati in salvo"" [",Russia
"Scusate se non trovo piu il tempo che avevo prima.. dove scrivevo appassiona i temi della terra piatta, ma come vedete anche voi i tempi sono cambiati..  Siamo in una battaglia epocale..   belli i tempi quando parlavo solo della terra piatta.. che cmq di tanto in tanto ci ritorno, ma purtroppo devo dare la precedenza alle cose incredibili che avvengono..  Trieste  la mia citta' e' diventata  un riferimento a livello mondiale..  per la sua battaglia contro un decreto criminale il green pass...  grazie alle iniziative di un incredibile Stefano  Puzzer che nella sua semplicita' accompagnata da una forza di coerenza e onesta' , e' diventato  un uomo di antiche doti.. un guerriero , il prediletto... per una missione Epocale,....  La cosa che mi colpisce di questo uomo e' la sua calma nonostante venga provocato da certi giornalisti probabilmente invidiosi per il suo enorme successo in poco tempo, ma  lui li disinnesca senza gridare  senza paroloni da politico, ma con risposte di verita' genuine, semplici  che arrivano dirette al cuore delle persone... Non voglio esagerare , ma quest'uomo mi ricorda Gesu'.... perche' il suo sguardo  la sua presenza emana un'energia positiva, lo dico perche' gli sono stato vicino nelle varie manifestazioni  qui a Trieste. Poi i fatti come sempre mi danno ragione...  Ormai lui e' diventato famoso a livello mondiale.",Covid
Ed ecco comparire tra le top news del quotidiano la stampa questo articolo: secondo loro i vaccini pediatrici sono la stessa cosa dei vaccini antinfluenzali da somministrare agli anziani... No comment,Covid
"In Belgio i produttori di birra stanno andando in bancarotta perché stanno finendo le bottiglie di vetro, l'87% delle quali veniva fornito dalla Russia. I birrai volevano passare alle lattine di alluminio, ma anche l'alluminio  arriva dalla Russia: le sanzioni funzionano!",Russia
"Speriamo che i sindacati riescano nella ormai difficile impresa di ricompattare veramente tutte le persone sotto un'unica bandiera di libertà per il rigetto della tirannia sanitaria. L'opera più difficile sarà quella di convincere i già vaccinati, che a loro modo di vedere infatti hanno fatto il ""sacrificio"" per la collettività, a fare gruppo e dare sostegno. Sappiamo bene quanto si vero invece che lo hanno fato per se stessi e per paura.",Covid
"I documenti Pfizer che sono stati rilasciati mostrano un tasso di efficacia del 12%, non del 95% come ci è stato detto. CrimesAgainstHumanity",Covid
Prof. Giovanni Frajese: io sospeso per le mie scomode verità sul covid-19! Hanno paura! Noi medici non siamo pochi e siamo in crescita costante! Il cambiamento inizia da noi!!! (tutte le verità censurate dalle élite),Covid
